match_id,series_id,match_details,result,scores,date,venue,round,home,away,winner,win_by_runs,win_by_wickets,balls_remaining,innings1,innings1_runs,innings1_wickets,innings1_overs_batted,innings1_overs,innings2,innings2_runs,innings2_wickets,innings2_overs_batted,innings2_overs,D/L_method,target,year
548380,520932,"2nd Qualifying Match:Delhi Daredevils v Chennai Super Kings at Chennai- May 25, 2012",Chennai Super Kings won by 86 runs,Chennai Super Kings 222/5 (20/20 ov); Delhi Daredevils 136 (16.5/20 ov),2012-05-25,Chennai,2nd Qualifying Match,Delhi Daredevils,Chennai Super Kings,Chennai Super Kings,86.0,,,Chennai Super Kings,222.0,5.0,20.0,20.0,Delhi Daredevils,136.0,10.0,16.5,20.0,,,2012
548381,520932,"Final:Kolkata Knight Riders v Chennai Super Kings at Chennai- May 27, 2012",Kolkata Knight Riders won by 5 wickets (with 2 balls remaining),Chennai Super Kings 190/3 (20/20 ov); Kolkata Knight Riders 192/5 (19.4/20 ov),2012-05-27,Chennai,Final,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,,5.0,2.0,Chennai Super Kings,190.0,3.0,20.0,20.0,Kolkata Knight Riders,192.0,5.0,19.4,20.0,,,2012
562437,562387,"1st T20I:Sri Lanka v Pakistan at Hambantota- Jun 1, 2012",Sri Lanka won by 37 runs,Sri Lanka 132/7 (20/20 ov); Pakistan 95 (17.4/20 ov),2012-06-01,Hambantota,1st T20I,Sri Lanka,Pakistan,Sri Lanka,37.0,,,Sri Lanka,132.0,7.0,20.0,20.0,Pakistan,95.0,10.0,17.4,20.0,,,2012
562438,562387,"2nd T20I:Sri Lanka v Pakistan at Hambantota- Jun 3, 2012",Pakistan won by 23 runs,Pakistan 122/6 (20/20 ov); Sri Lanka 99 (19.2/20 ov),2012-06-03,Hambantota,2nd T20I,Sri Lanka,Pakistan,Pakistan,23.0,,,Pakistan,122.0,6.0,20.0,20.0,Sri Lanka,99.0,10.0,19.2,20.0,,,2012
562899,562894,"1st unofficial T20I:West Indies A v India A at Port of Spain- Jun 23, 2012",West Indies A won by 3 wickets (with 2 balls remaining),India A 130 (18/18 ov); West Indies A 131/7 (17.4/18 ov),2012-06-23,Port of Spain,1st unofficial T20I,West Indies A,India A,West Indies A,,3.0,2.0,India A,130.0,10.0,18.0,18.0,West Indies A,131.0,7.0,17.4,18.0,,,2012
562900,562894,"2nd unofficial T20I:West Indies A v India A at Port of Spain- Jun 24, 2012",Match tied (India A won the one-over eliminator),India A 154/5 (20/20 ov); West Indies A 154/4 (20/20 ov),2012-06-24,Port of Spain,2nd unofficial T20I,West Indies A,India A,India A,,,,India A,154.0,5.0,20.0,20.0,West Indies A,154.0,4.0,20.0,20.0,,,2012
534208,534188,"Only T20I:England v West Indies at Nottingham- Jun 24, 2012",England won by 7 wickets (with 2 balls remaining),West Indies 172/4 (20/20 ov); England 173/3 (19.4/20 ov),2012-06-24,Nottingham,Only T20I,England,West Indies,England,,7.0,2.0,West Indies,172.0,4.0,20.0,20.0,England,173.0,3.0,19.4,20.0,,,2012
564883,561548,"1st Match:Zimbabwe XI v Bangladesh XI at Harare- Jun 17, 2012",Zimbabwe XI won by 11 runs,Zimbabwe XI 154/6 (20/20 ov); Bangladesh XI 143/5 (20/20 ov),2012-06-17,Harare,1st Match,Zimbabwe XI,Bangladesh XI,Zimbabwe XI,11.0,,,Zimbabwe XI,154.0,6.0,20.0,20.0,Bangladesh XI,143.0,5.0,20.0,20.0,,,2012
564884,561548,"2nd Match:Bangladesh XI v South Africa XI at Harare- Jun 19, 2012",South Africa XI won by 39 runs,South Africa XI 209/3 (20/20 ov); Bangladesh XI 170/8 (20/20 ov),2012-06-19,Harare,2nd Match,Bangladesh XI,South Africa XI,South Africa XI,39.0,,,South Africa XI,209.0,3.0,20.0,20.0,Bangladesh XI,170.0,8.0,20.0,20.0,,,2012
561550,561548,"3rd Match:Zimbabwe XI v South Africa XI at Harare- Jun 20, 2012",Zimbabwe XI won by 29 runs,Zimbabwe XI 176/4 (20/20 ov); South Africa XI 147 (19.2/20 ov),2012-06-20,Harare,3rd Match,Zimbabwe XI,South Africa XI,Zimbabwe XI,29.0,,,Zimbabwe XI,176.0,4.0,20.0,20.0,South Africa XI,147.0,10.0,19.2,20.0,,,2012
